equipment_id,equipment_name,equipment_type,temperature,vibration,voltage,current,pressure,rpm,timestamp
UP-001,Pump Station Alpha,Pump,45.2,1.2,220,15.5,85.0,1750,2026-05-15T10:00:00Z
UP-001,Pump Station Alpha,Pump,46.1,1.3,221,15.8,86.2,1760,2026-05-15T10:05:00Z
UP-001,Pump Station Alpha,Pump,48.5,1.8,219,16.5,89.5,1780,2026-05-15T10:10:00Z
UP-001,Pump Station Alpha,Pump,78.0,3.2,243,36.0,128.0,4200,2026-05-15T10:15:00Z
UP-001,Pump Station Alpha,Pump,93.5,4.8,249,48.0,144.0,4850,2026-05-15T10:20:00Z
UP-002,Conveyor Belt B,Motor,55.0,0.8,228,18.0,80.0,1800,2026-05-15T10:00:00Z
UP-002,Conveyor Belt B,Motor,56.2,0.9,229,18.2,81.5,1810,2026-05-15T10:05:00Z
UP-002,Conveyor Belt B,Motor,78.5,3.3,244,37.0,130.0,4250,2026-05-15T10:10:00Z
UP-002,Conveyor Belt B,Motor,95.0,5.1,250,50.0,148.0,4900,2026-05-15T10:15:00Z
UP-003,Cooling Fan,Fan,50.0,1.0,228,18.0,80.0,1800,2026-05-15T10:00:00Z
UP-003,Cooling Fan,Fan,51.0,1.1,228,18.1,80.5,1810,2026-05-15T10:05:00Z
UP-003,Cooling Fan,Fan,50.5,1.0,227,17.9,79.5,1790,2026-05-15T10:10:00Z
